種類,価格情報区分,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,間取り,面積（㎡）,建築年,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,取引時期,改装,取引の事情等,区,取引年,取引四半期,建築年_数値,築年数,最寄駅距離_分,㎡単価,夜間人口,昼間人口,昼夜間人口比率
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,1,50000000,３ＬＤＫ,70,,,,その他,,,,2025年第3四半期,,,千代田区,2025,3,,,1.0,714285.7142857143,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,3,45000000,１ＬＤＫ,40,1985年,ＳＲＣ,住宅,住宅,商業,80.0,700.0,2025年第1四半期,未改装,,千代田区,2025,1,1985.0,40.0,3.0,1125000.0,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,0,110000000,２ＬＤＫ,55,1984年,ＳＲＣ,住宅,住宅,商業,80.0,600.0,2025年第1四半期,改装済み,,千代田区,2025,1,1984.0,41.0,0.0,2000000.0,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,1,110000000,２ＬＤＫ,55,1984年,ＳＲＣ,住宅,住宅,商業,80.0,600.0,2024年第4四半期,改装済み,,千代田区,2024,4,1984.0,40.0,1.0,2000000.0,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,1,110000000,１ＬＤＫ＋Ｓ,55,1984年,ＳＲＣ,住宅,住宅,商業,80.0,600.0,2024年第4四半期,改装済み,,千代田区,2024,4,1984.0,40.0,1.0,2000000.0,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,2,55000000,２ＤＫ,45,1982年,ＳＲＣ,住宅,住宅,商業,80.0,700.0,2024年第3四半期,改装済み,,千代田区,2024,3,1982.0,42.0,2.0,1222222.2222222222,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,3,31000000,１Ｒ,30,1985年,ＳＲＣ,住宅,事務所,商業,80.0,700.0,2024年第3四半期,未改装,,千代田区,2024,3,1985.0,39.0,3.0,1033333.3333333334,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,3,94000000,１ＤＫ,40,2021年,ＲＣ,,住宅,２種住居,60.0,400.0,2024年第2四半期,未改装,,千代田区,2024,2,2021.0,3.0,3.0,2350000.0,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,4,140000000,,70,2007年,ＲＣ,,住宅,商業,80.0,500.0,2024年第1四半期,,,千代田区,2024,1,2007.0,17.0,4.0,2000000.0,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,4,43000000,１ＤＫ,30,1999年,ＳＲＣ,住宅,住宅,商業,80.0,500.0,2024年第1四半期,,,千代田区,2024,1,1999.0,25.0,4.0,1433333.3333333333,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,4,68000000,１ＬＤＫ,40,2013年,ＲＣ,住宅,住宅,商業,80.0,700.0,2023年第4四半期,未改装,,千代田区,2023,4,2013.0,10.0,4.0,1700000.0,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,1,92000000,２ＬＤＫ,55,1984年,ＳＲＣ,住宅,住宅,商業,80.0,600.0,2023年第4四半期,改装済み,,千代田区,2023,4,1984.0,39.0,1.0,1672727.2727272727,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,3,130000000,１ＬＤＫ,60,2021年,ＲＣ,住宅,住宅,２種住居,60.0,400.0,2023年第2四半期,未改装,,千代田区,2023,2,2021.0,2.0,3.0,2166666.6666666665,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,3,150000000,２ＬＤＫ,60,2021年,ＲＣ,住宅,住宅,２種住居,60.0,400.0,2023年第2四半期,未改装,,千代田区,2023,2,2021.0,2.0,3.0,2500000.0,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,3,18000000,１ＤＫ,15,1985年,ＳＲＣ,住宅,住宅,商業,80.0,700.0,2023年第2四半期,未改装,,千代田区,2023,2,1985.0,38.0,3.0,1200000.0,66680,903780,1355.39892
中古マンション等,不動産取引価格情報,13101,東京都,千代田区,飯田橋,飯田橋,3,13000000,１Ｋ,15,1985年,ＳＲＣ,住宅,住宅,商業,80.0,700.0,2022年第4四半期,,,千代田区,2022,4,1985.0,37.0,3.0,866666.6666666666,66680,903780,1355.39892
